timestamp,buy_volume,sell_volume
2011-01-16T00:00:00.000Z,39.400000000000006,0.01
2011-01-17T00:00:00.000Z,0.5499999999999999,0
2011-01-18T00:00:00.000Z,1.5100000000000002,0
2011-01-19T00:00:00.000Z,183.23000000000008,0
2011-01-20T00:00:00.000Z,14.319999999999999,0
2011-01-21T00:00:00.000Z,7.069999999999998,0
2011-01-22T00:00:00.000Z,6.46,0
2011-01-23T00:00:00.000Z,6.640000000000001,2.5
2011-01-24T00:00:00.000Z,4.6899999999999995,0
2011-01-25T00:00:00.000Z,56.73000000000001,0
2011-01-26T00:00:00.000Z,907.0899999999999,0
2011-01-27T00:00:00.000Z,3.67,5.3
2011-01-28T00:00:00.000Z,64.98,0
2011-01-29T00:00:00.000Z,769.3199999999998,0
2011-01-30T00:00:00.000Z,7.9799999999999995,0
2011-01-31T00:00:00.000Z,792.1699999999997,0
2011-02-01T00:00:00.000Z,8.67,0
2011-02-02T00:00:00.000Z,10.43,0
2011-02-03T00:00:00.000Z,10.119999999999997,192.16
2011-02-04T00:00:00.000Z,12.71,0
2011-02-05T00:00:00.000Z,15.269999999999998,0
2011-02-06T00:00:00.000Z,35.97,0
2011-02-07T00:00:00.000Z,20.07,0
2011-02-08T00:00:00.000Z,19.009999999999994,0
2011-02-09T00:00:00.000Z,227.7,0
2011-02-10T00:00:00.000Z,852.4099999999996,0
2011-02-11T00:00:00.000Z,227.5,0
2011-02-12T00:00:00.000Z,28.960000000000004,0.01
2011-02-13T00:00:00.000Z,212.51999999999995,20.26
2011-02-14T00:00:00.000Z,90.65999999999998,0
2011-02-15T00:00:00.000Z,1834.0100000000004,0
2011-02-16T00:00:00.000Z,26.780000000000005,0
2011-02-17T00:00:00.000Z,31.110000000000017,0
2011-02-18T00:00:00.000Z,22.96,0
2011-02-19T00:00:00.000Z,194.61999999999998,0
2011-02-20T00:00:00.000Z,37.07,0
2011-02-21T00:00:00.000Z,431.17999999999984,0
2011-02-22T00:00:00.000Z,33.85999999999999,0
2011-02-23T00:00:00.000Z,420.61999999999995,0
2011-02-24T00:00:00.000Z,122.85,0
2011-02-25T00:00:00.000Z,33.029999999999994,0
2011-02-26T00:00:00.000Z,21.040000000000013,0
2011-02-27T00:00:00.000Z,361.1199999999999,0
2011-02-28T00:00:00.000Z,270.9799999999999,0
2011-03-01T00:00:00.000Z,89.84,0
2011-03-02T00:00:00.000Z,20.91,0
2011-03-03T00:00:00.000Z,543.2299999999998,0
2011-03-04T00:00:00.000Z,15.02,0
2011-03-05T00:00:00.000Z,24.79,0
2011-03-06T00:00:00.000Z,214.52999999999994,0
2011-03-07T00:00:00.000Z,30.699999999999996,0
2011-03-08T00:00:00.000Z,548.5100000000001,20
2011-03-09T00:00:00.000Z,1024.46,0
2011-03-10T00:00:00.000Z,2.0100000000000002,0
2011-03-11T00:00:00.000Z,14.85,0
2011-03-12T00:00:00.000Z,24.909999999999997,0
2011-03-13T00:00:00.000Z,13.65,0
2011-03-14T00:00:00.000Z,12.11,0
2011-03-15T00:00:00.000Z,17.09,0
2011-03-16T00:00:00.000Z,194.61999999999998,0
2011-03-17T00:00:00.000Z,64.89999999999999,0
2011-03-18T00:00:00.000Z,47.83000000000001,0
2011-03-19T00:00:00.000Z,14.58,0
2011-03-20T00:00:00.000Z,23.470000000000006,0
2011-03-21T00:00:00.000Z,1.61,0
2011-03-22T00:00:00.000Z,374.63,14.05
2011-03-23T00:00:00.000Z,100.56,0
2011-03-24T00:00:00.000Z,333.42,0
2011-03-25T00:00:00.000Z,29.039999999999996,0
2011-03-26T00:00:00.000Z,19.82,0
2011-03-27T00:00:00.000Z,23.84999999999999,0
2011-03-28T00:00:00.000Z,15.67,0
2011-03-29T00:00:00.000Z,51.41000000000001,50
2011-03-30T00:00:00.000Z,22.26000000000001,0
2011-03-31T00:00:00.000Z,204.13999999999996,0
2011-04-01T00:00:00.000Z,413.01999999999987,0
2011-04-02T00:00:00.000Z,23.450000000000003,0
2011-04-03T00:00:00.000Z,23.859999999999996,0
2011-04-04T00:00:00.000Z,21.06,0
2011-04-05T00:00:00.000Z,237.48,0
2011-04-06T00:00:00.000Z,23.009999999999998,0
2011-04-07T00:00:00.000Z,126.49,0
2011-04-08T00:00:00.000Z,30.470000000000002,0
2011-04-09T00:00:00.000Z,13.08,0
2011-04-10T00:00:00.000Z,185.69999999999996,0
2011-04-11T00:00:00.000Z,130.54,0
2011-04-12T00:00:00.000Z,224.07,0
2011-04-13T00:00:00.000Z,23.11999999999999,0
2011-04-14T00:00:00.000Z,221.92,10
2011-04-15T00:00:00.000Z,220.57999999999998,0
2011-04-16T00:00:00.000Z,20.879999999999992,0
2011-04-17T00:00:00.000Z,158.89000000000004,0
2011-04-18T00:00:00.000Z,534.18,0
2011-04-19T00:00:00.000Z,522.3,0
2011-04-20T00:00:00.000Z,716.21,641
2011-04-21T00:00:00.000Z,5.14,0
2011-04-22T00:00:00.000Z,37.47,0
2011-04-23T00:00:00.000Z,241.58,0
2011-04-24T00:00:00.000Z,16.62,915
2011-04-25T00:00:00.000Z,18.400000000000002,0
2011-04-26T00:00:00.000Z,26.419999999999995,9.3
2011-04-27T00:00:00.000Z,525.731,8.87
2011-04-28T00:00:00.000Z,21.669999999999998,0
2011-04-29T00:00:00.000Z,943.53,860
2011-04-30T00:00:00.000Z,15.35,0.07
2011-05-01T00:00:00.000Z,24.849999999999998,1.46
2011-05-02T00:00:00.000Z,10.2,0
2011-05-03T00:00:00.000Z,16.259999999999998,0
2011-05-04T00:00:00.000Z,508.24,0
2011-05-05T00:00:00.000Z,278.68,14.14
2011-05-06T00:00:00.000Z,25.399999999999995,0
2011-05-07T00:00:00.000Z,19.606307709999996,0
2011-05-08T00:00:00.000Z,265.51318406,3.55
2011-05-09T00:00:00.000Z,1066.01676615,0
2011-05-10T00:00:00.000Z,3.5579368000000002,0
2011-05-11T00:00:00.000Z,5.023805820000001,0
2011-05-12T00:00:00.000Z,17.992864540000003,0
2011-05-13T00:00:00.000Z,31.92975757,0
2011-05-14T00:00:00.000Z,118.02561451000001,0
2011-05-15T00:00:00.000Z,19.472296800000002,17.5
2011-05-16T00:00:00.000Z,1010.49344639,0
2011-05-17T00:00:00.000Z,1944.7933330200003,1
2011-05-18T00:00:00.000Z,45.63129564,0
2011-05-19T00:00:00.000Z,514.5024506100001,0
2011-05-20T00:00:00.000Z,800.41291451,0
2011-05-21T00:00:00.000Z,19.80774192,0
2011-05-22T00:00:00.000Z,23.66525389,0
2011-05-23T00:00:00.000Z,20.46329214,100
2011-05-24T00:00:00.000Z,4566.0562909,0
2011-05-25T00:00:00.000Z,542.5370799499999,4.42
2011-05-26T00:00:00.000Z,20.633862269999995,10.09
